code_indicateur;libelle_indicateur;description_indicateur;type_donnees_indicateur;granularite_indicateur
D130;impr_total_livres_impr_um_elim;Imprimés – Total – Livres imprimés – UM – Eliminations;numérique;annuel
D131;impr_total_livres_impr_nb_de_d;Imprimés – Total – Livres imprimés – dont nombre de dons (ou autres acquisitions à titre gracieux, …) – UM – Acquisitions;numérique;annuel
D142;impr_enfants_livres_impr_um_en;Imprimés – Enfants – Livres imprimés – UM – En dépôt de la BDP au 31 décembre 2023;numérique;annuel
D143;impr_total_livres_impr_um_en_d;Imprimés –Total – Livres imprimés – UM – En dépôt de la BDP au 31 décembre 2023;numérique;annuel
D144;impr_adultes_livres_impr_um_en;Imprimés – Adultes – Livres imprimés – UM – En dépôt de la BDP au 31 décembre 2023;numérique;annuel
D201;perios_en_cours_imprimees_adul;Publications en série en cours – Imprimées- Adultes – Abonnements;numérique;annuel
D203;perios_imprimees_en_cours_impr;Publications en série imprimées en cours – Imprimées – Enfants – Abonnements;numérique;annuel
D211;perios_imprimees_en_cours_tota;Publications en série imprimées en cours – Total – Abonnements;numérique;annuel
D301;pat_fonds_et_acqs_mss_fonds_ml;Patrimoine – fonds et acquisitions – manuscrits – fonds – (ML);numérique;annuel
D302;pat_fonds_et_acqs_mss_acqs_ml;Patrimoine – fonds et acquisitions – manuscrits – acquisitions – (ML);numérique;annuel
D303;pat_fonds_et_acqs_mss_fonds_um;Patrimoine – fonds et acquisitions – manuscrits – fonds – (UM);numérique;annuel
D304;pat_fonds_et_acqs_mss_acqs_um;Patrimoine – fonds et acquisitions – manuscrits – acquisitions – (UM);numérique;annuel
D307;autres_docs_docs_cartographiqu;Autres documents – Documents cartographiques – UM – Fonds;numérique;annuel
D308;autres_docs_docs_cartographi_1;Autres documents – Documents cartographiques – UM – Acquisitions;numérique;annuel
D309;autres_docs_musique_imprimee_u;Autres documents – Musique imprimée – UM – Fonds;numérique;annuel
D310;autres_docs_musique_imprimee_1;Autres documents – Musique imprimée – UM – Acquisitions;numérique;annuel
D314;autres_docs_docs_graphiques_um;Autres documents – Documents graphiques – UM – Fonds;numérique;annuel
D315;autres_docs_docs_graphiques__1;Autres documents – Documents graphiques – UM – Acquisitions;numérique;annuel
